arquivo,etnia_real,etnia_pred,idade_real,idade_pred,genero_real,genero_pred
63_0_0_20170111193827549.jpg.chip.jpg,Branco,Asiático,63,37,Homem,Homem
22_1_3_20170117154551789.jpg.chip.jpg,Indiano,Branco,22,28,Mulher,Mulher
28_0_4_20170117190111300.jpg.chip.jpg,Outros,Oriente Médio,28,28,Homem,Homem
24_1_1_20170112234612457.jpg.chip.jpg,Negro,Asiático,24,28,Mulher,Mulher
75_0_0_20170111200151404.jpg.chip.jpg,Branco,Oriente Médio,75,48,Homem,Homem
55_0_3_20170119154102401.jpg.chip.jpg,Indiano,Asiático,55,32,Homem,Homem
16_1_4_20170103233818803.jpg.chip.jpg,Outros,Latino/Hispânico,16,27,Mulher,Mulher
21_0_4_20161223214825003.jpg.chip.jpg,Outros,Latino/Hispânico,21,29,Homem,Mulher
26_1_3_20170109133227729.jpg.chip.jpg,Indiano,Branco,26,28,Mulher,Homem
57_0_0_20170111171747487.jpg.chip.jpg,Branco,Asiático,57,36,Homem,Homem
52_0_0_20170104211941860.jpg.chip.jpg,Branco,Oriente Médio,52,36,Homem,Homem
26_0_3_20170119180602948.jpg.chip.jpg,Indiano,Branco,26,23,Homem,Homem
38_1_1_20170116171343260.jpg.chip.jpg,Negro,Asiático,38,38,Mulher,Mulher
11_0_3_20170104230222352.jpg.chip.jpg,Indiano,Asiático,11,29,Homem,Homem
25_0_3_20170119171120578.jpg.chip.jpg,Indiano,Latino/Hispânico,25,29,Homem,Homem
26_1_1_20170113012032526.jpg.chip.jpg,Negro,Latino/Hispânico,26,27,Mulher,Mulher
28_0_0_20170119194800515.jpg.chip.jpg,Branco,Asiático,28,26,Homem,Homem
49_1_3_20170104235844116.jpg.chip.jpg,Indiano,Latino/Hispânico,49,30,Mulher,Homem
23_1_3_20170119164546693.jpg.chip.jpg,Indiano,Branco,23,26,Mulher,Mulher
34_0_0_20170104191711254.jpg.chip.jpg,Branco,Asiático,34,26,Homem,Homem
