arquivo,genero_real,genero_pred,idade_real,idade_pred,etnia_real,etnia_pred
21_0_4_20161223214825003.jpg.chip.jpg,Homem,Mulher,21,29,Outros,Latino/Hispânico
26_1_1_20170116170901103.jpg.chip.jpg,Mulher,Homem,26,25,Negro,Negro
26_1_3_20170109133227729.jpg.chip.jpg,Mulher,Homem,26,28,Indiano,Branco
90_1_0_20170110182536477.jpg.chip.jpg,Mulher,Homem,90,57,Branco,Branco
30_1_1_20170113011704335.jpg.chip.jpg,Mulher,Homem,30,30,Negro,Negro
18_1_2_20170105183417710.jpg.chip.jpg,Mulher,Homem,18,30,Asiático,Asiático
3_0_0_20170109191321997.jpg.chip.jpg,Homem,Mulher,3,33,Branco,Branco
49_1_3_20170104235844116.jpg.chip.jpg,Mulher,Homem,49,30,Indiano,Latino/Hispânico
1_1_3_20161220144637487.jpg.chip.jpg,Mulher,Homem,1,30,Indiano,Asiático
26_0_2_20170116175516176.jpg.chip.jpg,Homem,Mulher,26,31,Asiático,Asiático
88_1_0_20170110132552849.jpg.chip.jpg,Mulher,Homem,88,55,Branco,Latino/Hispânico
69_1_3_20170109150308256.jpg.chip.jpg,Mulher,Homem,69,39,Indiano,Oriente Médio
26_1_2_20170116184134921.jpg.chip.jpg,Mulher,Homem,26,29,Asiático,Asiático
85_1_0_20170111205811953.jpg.chip.jpg,Mulher,Homem,85,44,Branco,Branco
1_1_0_20170109194410994.jpg.chip.jpg,Mulher,Homem,1,20,Branco,Asiático
25_1_0_20170117134530533.jpg.chip.jpg,Mulher,Homem,25,24,Branco,Branco
3_1_0_20161219190805051.jpg.chip.jpg,Mulher,Homem,3,25,Branco,Asiático
26_1_1_20170116223404554.jpg.chip.jpg,Mulher,Homem,26,29,Negro,Branco
26_1_2_20170116184456081.jpg.chip.jpg,Mulher,Homem,26,28,Asiático,Asiático
2_1_2_20161219151919100.jpg.chip.jpg,Mulher,Homem,2,16,Asiático,Asiático
